"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"foreach","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.5.2",NA,NA,NA,NA
"Formula","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.2-4",NA,NA,NA,NA
"fpCompare","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.2.4",NA,NA,NA,NA
"fs","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.6.1",NA,NA,NA,NA
"fst","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.9.8",NA,NA,NA,NA
"fstcore","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.9.14",NA,NA,NA,NA
"furrr","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.3.1",NA,NA,NA,NA
"future","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.31.0",NA,NA,NA,NA
"future.apply","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.10.0",NA,NA,NA,NA
"future.callr","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.8.1",NA,NA,NA,NA
"gamlss","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","5.4-12",NA,NA,NA,NA
"gamlss.data","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","6.0-2",NA,NA,NA,NA
"gamlss.dist","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","6.0-5",NA,NA,NA,NA
"gargle","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.3.0",NA,NA,NA,NA
"gdalUtilities","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.2.3",NA,NA,NA,NA
"gdalUtils","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","2.0.3.2",NA,NA,NA,NA
"generics","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.1.3",NA,NA,NA,NA
"geodata","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.5-3",NA,NA,NA,NA
"ggplot2","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","3.4.1",NA,NA,NA,NA
"ggpubr","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.6.0",NA,NA,NA,NA
"ggrepel","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.9.3",NA,NA,NA,NA
"ggsci","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","3.0.0",NA,NA,NA,NA
"ggsignif","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.6.4",NA,NA,NA,NA
"ggspatial","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.1.7",NA,NA,NA,NA
"glmm","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.4.4",NA,NA,NA,NA
"globals","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.16.2",NA,NA,NA,NA
"glue","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.6.2",NA,NA,NA,NA
"goftest","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.2-3",NA,NA,NA,NA
"googledrive","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","2.0.0",NA,NA,NA,NA
"gridBase","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.4-7",NA,NA,NA,NA
"gridExtra","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","2.3",NA,NA,NA,NA
"gtable","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.3.2",NA,NA,NA,NA
"hexbin","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.28.2",NA,NA,NA,NA
"highr","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.10",NA,NA,NA,NA
"Hmisc","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","4.8-0",NA,NA,NA,NA
"hms","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.1.2",NA,NA,NA,NA
"htmlTable","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","2.4.1",NA,NA,NA,NA
"htmltools","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.5.4",NA,NA,NA,NA
"htmlwidgets","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.6.1",NA,NA,NA,NA
"httpuv","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.6.8",NA,NA,NA,NA
"httr","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.4.5",NA,NA,NA,NA
"igraph","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.4.1",NA,NA,NA,NA
"interp","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.1-3",NA,NA,NA,NA
"isoband","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.2.7",NA,NA,NA,NA
"iterators","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.0.14",NA,NA,NA,NA
"itertools","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.1-3",NA,NA,NA,NA
"jpeg","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.1-10",NA,NA,NA,NA
"jquerylib","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.1.4",NA,NA,NA,NA
"jsonlite","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.8.4",NA,NA,NA,NA
"kernlab","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.9-32",NA,NA,NA,NA
"knitr","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.42",NA,NA,NA,NA
"ks","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.14.0",NA,NA,NA,NA
"kSamples","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.2-9",NA,NA,NA,NA
"labeling","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.4.2",NA,NA,NA,NA
"LandR","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.1.0.9026","LandR","PredictiveEcology","dev-stable","dce47d13e19f5728de80366871ed204cea423196"
"LandR.CS","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.0.3.9000","LandR.CS","ianmseddy","development","04bdff81d15a82e6902acdd1f9ca9f42ebe0dbac"
"later","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.3.0",NA,NA,NA,NA
"latticeExtra","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.6-30",NA,NA,NA,NA
"lifecycle","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.0.3",NA,NA,NA,NA
"listenv","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.9.0",NA,NA,NA,NA
"lme4","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.1-32",NA,NA,NA,NA
"lobstr","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.1.2",NA,NA,NA,NA
"logging","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.10-108",NA,NA,NA,NA
"lubridate","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.9.1",NA,NA,NA,NA
"lwgeom","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.2-11",NA,NA,NA,NA
